,UNet_ResNet34_loss,UNet_ResNet34_iou,UNet++_ResNet34_loss,UNet++_ResNet34_iou,AttnUNet_ResNet34_loss,AttnUNet_ResNet34_iou,TransUNet_MiT_loss,TransUNet_MiT_iou
0,0.26432337216708973,0.8373450040817261,0.29005886290384375,0.8504558801651001,0.2820235558178114,0.8088058829307556,0.2786300257496212,0.839939534664154
1,0.147082679686339,0.863955557346344,0.12454499913298565,0.8613619804382324,0.17543713398601699,0.8614231944084167,0.1467477938403254,0.848997950553894
2,0.10039409010306649,0.8684725165367126,0.08489827332289322,0.8761565685272217,0.12313851195832957,0.8603978753089905,0.10476138228955476,0.871723473072052
3,0.07728073882020038,0.8691571950912476,0.06714828688165415,0.8758003115653992,0.09040857968123063,0.8688915371894836,0.0835844628188921,0.8635815978050232
4,0.06713150376858919,0.8719857335090637,0.05872296146724535,0.8750108480453491,0.06958216376926588,0.8764275312423706,0.07191057542096013,0.8805944323539734
5,0.06317298438238061,0.8665245175361633,0.05443134359691454,0.8769553303718567,0.058626321087712825,0.8787258863449097,0.06327147846636565,0.879598081111908
6,0.055512085945709895,0.8730337023735046,0.052135289233663805,0.8622384667396545,0.0579009323016457,0.8562919497489929,0.05872093205866606,0.8821550607681274
7,0.050550725926523626,0.8793153166770935,0.05263513482135275,0.8713085055351257,0.05507248484570047,0.8676329255104065,0.06108040887376537,0.8682553172111511
8,0.04637593497400699,0.88062983751297,0.04570323928542759,0.8802146911621094,0.050057221236436265,0.8765614628791809,0.05394013886866362,0.8845413327217102
9,0.045682163342185646,0.8802477717399597,0.041989574743353804,0.8806794881820679,0.04575088127799656,0.8810282945632935,0.04995743761891904,0.8799128532409668
