epoch,CBAM_UNET_loss,CBAM_UNET_iou,UNET_loss,UNET_iou,UNET_PLUS_PLUS_loss,UNET_PLUS_PLUS_iou
0,0.49427376622739044,0.5850732326507568,0.39811645694400954,0.5276260375976562,0.3929755117582238,0.5299974083900452
1,0.3706429237904756,0.6663575172424316,0.30000352289365684,0.6501482725143433,0.3051824994709181,0.6498731970787048
2,0.29272100458974426,0.6888272762298584,0.25294484262881073,0.6912104487419128,0.2554296436517135,0.6973011493682861
3,0.24174414302991784,0.7213976383209229,0.22530777298885843,0.6897238492965698,0.22477461203284885,0.7102136611938477
4,0.20853696957878445,0.7228260040283203,0.20094811294389808,0.7001112699508667,0.19894243323284647,0.7366377711296082
5,0.18427946826686029,0.7370851039886475,0.18121460987173993,0.7417752742767334,0.18114766037982444,0.7445105910301208
6,0.16687899827957153,0.7409588694572449,0.16658468920251598,0.7368495464324951,0.16823305617208067,0.7374708652496338
7,0.15458597307619842,0.7410740852355957,0.15463101086409195,0.754665195941925,0.15346522175747415,0.7478964328765869
8,0.13885791664538177,0.7582173347473145,0.14312243357948634,0.7573825120925903,0.14332684174827906,0.7531443238258362
9,0.12482594821764076,0.7747297883033752,0.13295604975327202,0.7554499506950378,0.13424869723941968,0.7639526128768921
