epoch,CBAM_UNET_loss,CBAM_UNET_iou,UNet_ResNet34_loss,UNet_ResNet34_iou,UNet++_ResNet34_loss,UNet++_ResNet34_iou,AttnUNet_ResNet34_loss,AttnUNet_ResNet34_iou,TransUNet_MiT_loss,TransUNet_MiT_iou
0,0.45700011175611743,0.6084429621696472,0.23442178912784742,0.8457164168357849,0.21372384247572526,0.8585329651832581,0.21103184041769607,0.8478701114654541,0.24497939166815386,0.8530824780464172
1,0.30426512930704197,0.6991385817527771,0.11209523496420487,0.859359860420227,0.09967372883921084,0.8693029880523682,0.10869425975758096,0.8522806167602539,0.11291196812754092,0.8623577356338501
2,0.22527052708294082,0.6950408220291138,0.08450269154880358,0.8654208183288574,0.07633064544719198,0.8690181970596313,0.07899615116741346,0.8710646033287048,0.0856096687524215,0.8673385381698608
3,0.18585444170495738,0.7422527074813843,0.07353647921396339,0.8599168062210083,0.064702526382778,0.872959315776825,0.06930081507434016,0.8704474568367004,0.0726359556550565,0.8755843639373779
4,0.16341799368029056,0.7496082782745361,0.061474128650582355,0.875956118106842,0.05965663324231687,0.8667212128639221,0.05938555779664413,0.8752017021179199,0.0653156226095946,0.8758249878883362
5,0.14086457698241525,0.7359451055526733,0.05464199081711147,0.8778538703918457,0.056495586426361745,0.877160906791687,0.05306949537733327,0.881583571434021,0.061048362566077194,0.8813528418540955
6,0.12869641962258713,0.7740821242332458,0.05129825965217922,0.8755754828453064,0.04972651549007582,0.8779568672180176,0.04897065914195517,0.8797020316123962,0.05739799789760424,0.8799747824668884
7,0.11915957590808039,0.7742143273353577,0.049364830618319304,0.8625079989433289,0.04556777762330097,0.8773153424263,0.04821043092271556,0.8769710659980774,0.05402380953664365,0.8819125890731812
8,0.11356654270835545,0.7690075039863586,0.04846442523209945,0.8799953460693359,0.04256998248722242,0.8809901475906372,0.0493715226650238,0.863781213760376,0.05051162320634593,0.8788970112800598
9,0.10439423892808997,0.7890955209732056,0.042849188524743786,0.877861738204956,0.03981709247050078,0.8765170574188232,0.05210463534230771,0.875720202922821,0.05103134642476621,0.8781436085700989
