epoch,CBAM_UNET_loss,CBAM_UNET_iou,UNET_loss,UNET_iou,UNETPLUSPLUS_loss,UNETPLUSPLUS_iou
0,0.5689638257026672,0.7804349064826965,0.38269974788029987,0.7954660654067993,0.38010838157252264,0.79533851146698
1,0.46752342424894633,0.8382545709609985,0.28308397949787606,0.8562070727348328,0.2999952623718663,0.8584538102149963
2,0.3830836917224683,0.8699141144752502,0.2450318033235115,0.8790504336357117,0.2677101900703029,0.8642769455909729
3,0.33051121025754693,0.8687055110931396,0.21767425327970272,0.8961344361305237,0.24075277855521754,0.8840146064758301
4,0.2876224496908355,0.8960045576095581,0.19224469598970914,0.8719576597213745,0.2192317435615941,0.8144083619117737
5,0.25388627721552265,0.9052762985229492,0.1743535650403876,0.9064929485321045,0.19950422383191294,0.8955985307693481
6,0.2261330067065724,0.9085727334022522,0.15208274962609275,0.9176052212715149,0.17805074704320809,0.914502739906311
7,0.19982939958572388,0.9036914110183716,0.13323149869316503,0.9271868467330933,0.15984937496352614,0.9201042652130127
8,0.17867767078834668,0.8920210599899292,0.1183329789262069,0.9305927753448486,0.14427965252022995,0.9310312867164612
9,0.1622764645961293,0.9010237455368042,0.10821013597019932,0.9242208003997803,0.13057442401584826,0.9308773279190063
10,0.14765990721551994,0.9231562614440918,0.09696111867302343,0.9290404915809631,0.11886538016168695,0.9329670667648315
11,0.13341750701268515,0.9315649271011353,0.08723936164588258,0.9310752749443054,0.10831477872112341,0.9350100755691528
12,0.1199162623338532,0.9329743981361389,0.07927932969310827,0.9329048991203308,0.0993491620348211,0.9390655755996704
13,0.1091654802623548,0.9348136186599731,0.0734504409003676,0.9073227643966675,0.09003573446943049,0.9333060383796692
14,0.10070484562924034,0.9304741621017456,0.07171204006462767,0.9312707781791687,0.08244253564299199,0.941845715045929
15,0.09244139152660705,0.9390361905097961,0.06824360604871783,0.9342395663261414,0.07541159579628393,0.9343353509902954
16,0.08541910899312873,0.9339650869369507,0.06085222227531567,0.9410788416862488,0.0714181567493238,0.9307283163070679
17,0.07910188875700298,0.9359444379806519,0.054090482101105807,0.936479926109314,0.07174498993053771,0.8980558514595032
18,0.07420056953764799,0.9396144151687622,0.04955315276196128,0.9438830018043518,0.07142658714662518,0.9267295598983765
19,0.06840246602108604,0.9366579651832581,0.04549031194887663,0.9438763856887817,0.06106082180090118,0.9422160983085632
