epoch,CBAM_UNET_loss,CBAM_UNET_iou,UNet_ResNet34_loss,UNet_ResNet34_iou,UNet++_ResNet34_loss,UNet++_ResNet34_iou,AttnUNet_ResNet34_loss,AttnUNet_ResNet34_iou,TransUNet_MiT_loss,TransUNet_MiT_iou
0,0.4945666929949885,0.5874006748199463,0.33284132428791213,0.8166723251342773,0.2719858646392822,0.8474536538124084,0.2686313841653907,0.8543334603309631,0.303879307663959,0.8386110663414001
1,0.3714382850605509,0.6714640855789185,0.23131791612376337,0.8587753176689148,0.15451019224913223,0.8620076179504395,0.12039394326831983,0.8622835278511047,0.1659654041995173,0.8632907867431641
2,0.30197835227717523,0.6916136145591736,0.18385277157244476,0.8664321303367615,0.11176368982895561,0.8777518272399902,0.08622349915297135,0.871357798576355,0.12277315595875615,0.8212594985961914
3,0.23972266135008438,0.7272660136222839,0.14309703059818435,0.8658533096313477,0.0871966989144035,0.8814024329185486,0.07337805965672368,0.8757886290550232,0.10361819733744082,0.8709025382995605
4,0.20341337089953215,0.6981692910194397,0.11799303396888401,0.8757047057151794,0.07200627326965332,0.8829025030136108,0.061586460859879205,0.8801769614219666,0.08352011286694071,0.8706938624382019
5,0.18554063517114391,0.731593906879425,0.0955924707910289,0.8764538764953613,0.06255732515583867,0.8799418210983276,0.05433988622997118,0.8702722191810608,0.07380606298861296,0.8780331015586853
6,0.16524346496747888,0.7236533164978027,0.08016492802163828,0.8828712105751038,0.05558009614115176,0.8807874917984009,0.054252248225004775,0.8788164258003235,0.0675751577252927,0.8825502991676331
7,0.15355201596799103,0.754567563533783,0.06904572041138358,0.8823310136795044,0.0498796644418136,0.8777137398719788,0.04864670660184777,0.8801034688949585,0.062848801198213,0.8832431435585022
8,0.14201955536137456,0.7649738788604736,0.05894124196923298,0.8825892806053162,0.04906089202217434,0.8809653520584106,0.04409629158351732,0.8833662867546082,0.06042339957278708,0.8762171268463135
9,0.12744310213171917,0.7723749876022339,0.051890108896338424,0.8805314898490906,0.04400840738545293,0.8785591125488281,0.04203553510748822,0.8455651998519897,0.05726062370383221,0.8840728402137756
